,budget,genre,gross,name,runtime,score,votes,Profit
90,0,Comedy,17685307,The Big Easy,102,6.6,10022,17685307
91,0,Comedy,25587804,Jumpin' Jack Flash,105,5.8,15703,25587804
92,40000000,Adventure,1641825,Piratas,121,6.1,6596,-38358175
93,0,Animation,5274,When the Wind Blows,80,7.8,7900,5274
94,10000000,Comedy,21458229,Tough Guys,104,6.2,5584,11458229
95,0,Drama,206952,Matador,110,7.0,8959,206952
96,0,Action,6637565,Black Moon Rising,100,5.4,4045,6637565
97,12000000,Comedy,7790931,The Best of Times,104,5.9,5523,-4209069
98,2000000,Horror,7369373,Witchboard,98,5.7,4744,5369373
99,14000000,Comedy,62134225,Down and Out in Beverly Hills,103,6.1,13569,48134225
100,8500000,Biography,277646,Lady Jane,136,7.2,5364,-8222354
101,0,Crime,7634909,Quicksilver,105,5.6,3720,7634909
102,0,Animation,5958456,My Little Pony: The Movie,86,6.0,2125,5958456
103,0,Horror,916172,Gothic,87,5.7,5843,916172
104,18000000,Action,1305114,8 Million Ways to Die,115,5.7,3607,-16694886
105,0,Crime,12303904,No Mercy,106,5.7,5564,12303904
106,0,Comedy,8033397,Haunted Honeymoon,82,5.6,5549,8033397
107,0,Comedy,320256,TerrorVision,83,5.7,4620,320256
108,0,Action,3751699,Allan Quatermain and the Lost City of Gold,99,4.4,7491,3751699
109,0,Crime,5794184,Mona Lisa,104,7.4,10747,5794184
110,0,Comedy,32324557,Nothing in Common,118,5.9,5345,32324557
111,8000000,Action,11834302,Firewalker,104,5.0,4752,3834302
112,0,Adventure,483460,Castaway,117,6.0,2649,483460
113,3300000,Comedy,4941117,Vamp,93,5.9,3909,1641117
114,0,Biography,3151,Caravaggio,93,6.7,4072,3151
115,0,Crime,21483,Mauvais Sang,116,7.3,4922,21483
116,0,Drama,4636169,Fire with Fire,103,6.6,1264,4636169
117,15000000,Comedy,12308521,Club Paradise,96,4.9,5049,-2691479
118,40000000,Comedy,49851591,Legal Eagles,116,5.9,8374,9851591
119,0,Comedy,1476356,Clockwise,96,6.6,9689,1476356
120,0,Drama,13418091,Extremities,89,6.3,2705,13418091
121,13000000,Comedy,8475466,Wise Guys,100,5.6,4573,-4524534
122,0,Drama,2444076,The Men's Club,101,4.5,680,2444076
123,0,Drama,4940939,Jean de Florette,120,8.1,20914,4940939
124,0,Drama,2510433,Reform School Girls,94,5.2,1717,2510433
125,0,Drama,3940542,Manon of the Spring,113,8.0,17849,3940542
126,17000000,Adventure,2315683,Shanghai Surprise,97,3.1,4339,-14684317
127,16000000,Drama,3800000,Power,111,5.7,2287,-12200000
128,0,Comedy,604849,Modern Girls,84,5.9,1023,604849
129,20000000,Comedy,22905500,Crimes of the Heart,105,6.4,3079,2905500
130,0,Horror,2278264,Nomads,91,5.5,3006,2278264
131,0,Action,4601256,Eliminators,96,4.5,1422,4601256
132,0,Comedy,2147228,Meatballs III: Summer Job,96,3.3,2003,2147228
133,6000000,Action,9947631,Murphy's Law,100,5.9,3561,3947631
134,0,Musical,2545142,True Stories,90,7.0,3885,2545142
135,0,Comedy,10090429,Under the Cherry Moon,98,4.9,2549,10090429
136,0,Drama,278623,Every Time We Say Goodbye,95,5.9,1834,278623
137,0,Drama,930211,Absolute Beginners,108,5.6,2659,930211
138,0,Drama,3272600,'Round Midnight,133,7.4,4028,3272600
139,4000000,Action,4679650,Avenging Force,104,5.9,1808,679650
140,0,Action,2995527,Bullies,96,5.4,340,2995527
141,0,Adventure,112132,Biggles: Adventures in Time,88,5.8,2243,112132
142,0,Drama,4845724,American Anthem,102,4.0,1284,4845724
143,0,Action,5099316,Out of Bounds,93,5.4,1016,5099316
144,0,Comedy,4781448,My Chauffeur,97,5.6,1426,4781448
145,18000000,Comedy,11957943,Brighton Beach Memoirs,108,6.9,2720,-6042057
146,0,Drama,37455,Summer,98,7.8,4612,37455
147,0,Drama,3136701,The Naked Cage,97,5.5,327,3136701
148,0,Horror,1720450,Link,100,5.9,2080,1720450
149,0,Thriller,1131399,Half Moon Street,90,5.4,2157,1131399
150,0,Drama,441863,"'night, Mother",96,7.6,1840,441863
151,0,Action,6029824,A Fine Mess,90,4.5,1164,6029824
152,0,Comedy,78068,Hardbodies 2,88,2.9,895,78068
153,0,Drama,203781,The Assault,155,7.3,2694,203781
154,0,Comedy,277405,Willy/Milly,86,5.7,323,277405
155,0,Drama,239073,The Ladies Club,85,5.3,154,239073
156,0,Action,140980,Let's Get Harry,102,5.2,978,140980
157,25000000,Adventure,4007250,Tai-Pan,127,5.5,1340,-20992750
158,0,Comedy,2750741,Deadtime Stories,93,4.6,973,2750741
159,17000000,Action,2793214,Heat,101,5.5,1358,-14206786
160,0,Comedy,1254040,Touch and Go,101,5.8,684,1254040
161,0,Biography,275000,The Boy in Blue,100,5.4,907,275000
162,0,Comedy,14205021,Sweet Liberty,106,5.7,2300,14205021
163,0,Comedy,681337,Killer Party,91,4.7,1265,681337
164,0,Drama,537681,Parting Glances,90,7.8,2330,537681
165,0,Animation,8540346,Care Bears Movie II: A New Generation,76,5.3,1760,8540346
166,14000000,Biography,18034150,"Jo Jo Dancer, Your Life Is Calling",97,6.3,1288,4034150
167,0,Action,1943751,Jake Speed,100,5.3,632,1943751
168,3401376,Action,3388020,Born American,97,4.3,1509,-13356
169,10000000,Action,6947787,Blue City,83,4.4,792,-3052213
170,0,Comedy,544472,Malcolm,90,7.2,1623,544472
171,0,Comedy,2669366,Playing for Keeps,102,4.1,515,2669366
172,0,Drama,8736,Duet for One,107,7.0,699,8736
173,0,Comedy,563358,Nobody's Fool,107,5.5,652,563358
174,0,Comedy,444746,The Whoopee Boys,88,6.2,639,444746
175,0,Comedy,4079895,That's Life!,102,6.1,1032,4079895
176,0,Comedy,14926,Body Slam,89,5.3,795,14926
177,0,Thriller,750000,Defense of the Realm,96,6.6,1625,750000
178,0,Drama,725000,Man Facing Southeast,105,7.8,2991,725000
179,0,Comedy,1902706,The Decline of the American Empire,101,7.3,6622,1902706
180,0,Drama,4743287,Violets Are Blue...,88,5.7,553,4743287
181,0,Thriller,1500000,The Whistle Blower,100,6.2,1672,1500000
182,2000000,Drama,1301121,Native Son,111,5.9,448,-698879
183,0,Drama,416393,Desert Bloom,105,6.6,821,416393
184,0,Drama,1777378,Working Girls,93,6.5,604,1777378
185,0,Comedy,925952,Ménage,84,7.0,2022,925952
186,0,Biography,583800,Oviri,100,6.2,275,583800
187,0,Action,181410,In the Shadow of Kilimanjaro,100,5.1,310,181410
188,0,Drama,432266,Kangaroo,108,6.7,156,432266
189,0,Action,2390525,Dangerously Close,95,6.6,935,2390525
190,0,Family,781727,Nutcracker,100,7.2,578,781727
191,0,Comedy,837623,Ginger and Fred,125,7.3,3859,837623
192,0,Crime,502237,Dream Lover,104,5.1,405,502237
193,0,Drama,6408791,Just Between Friends,110,5.9,629,6408791
194,0,Action,145975,Thunder Run,90,5.1,218,145975
195,0,Comedy,1096843,The Longshot,89,5.4,457,1096843
196,0,Comedy,4842778,Off Beat,92,5.0,748,4842778
197,0,Drama,2520664,Streets of Gold,95,6.0,505,2520664
198,0,Action,351623,Weekend Warriors,100,4.4,237,351623
199,18000000,Action,2295500,Sky Bandits,100,4.6,183,-15704500
200,1500000,Action,1368912,Armed Response,86,4.9,489,-131088
201,0,Drama,189042,Otello,100,7.2,424,189042
202,0,Drama,440438,On the Edge,95,7.1,171,440438
203,0,Action,63860,Low Blow,100,3.5,256,63860
204,0,Drama,1444618,Belizaire the Cajun,103,6.4,391,1444618
205,0,Drama,227510,A Man and a Woman: 20 Years Later,112,5.8,496,227510
206,0,Action,1900000,Quiet Cool,100,5.7,542,1900000
207,0,Action,2497233,Behind Enemy Lines,90,4.9,368,2497233
208,0,Action,193153,Wired to Kill,86,4.2,163,193153
209,0,Drama,149440,The Fringe Dwellers,98,6.7,305,149440
210,0,Crime,164187,Scene of the Crime,90,6.9,565,164187
211,0,Animation,1338264,GoBots: Battle of the Rock Lords,75,5.8,397,1338264
212,0,Comedy,267249,The Gospel According to Vic,92,6.1,227,267249
213,0,Action,601451,Knights of the City,87,4.8,103,601451
214,0,Comedy,18209,Saving Grace,112,7.0,467,18209
215,0,Action,492367,Jackals,97,5.3,139,492367
216,0,Comedy,22123,Detective School Dropouts,92,5.8,220,22123
217,0,Adventure,676166,Where the River Runs Black,100,6.6,351,676166
218,0,Family,2193642,Heathcliff: The Movie,73,5.3,187,2193642
219,0,Comedy,32279,One More Saturday Night,95,5.7,211,32279
220,16000000,Adventure,30857814,The Princess Bride,98,8.1,320953,14857814
221,1000000,Horror,14564027,Hellraiser,94,7.0,83209,13564027
222,30000000,Drama,46357676,Full Metal Jacket,116,8.3,537826,16357676
223,6000000,Drama,63952836,Dirty Dancing,100,6.9,155978,57952836
224,0,Comedy,32222567,The Lost Boys,97,7.3,100376,32222567
225,15000000,Action,59735548,Predator,107,7.8,313213,44735548
226,27000000,Action,38122105,The Running Man,101,6.6,120345,11122105
227,22700000,Adventure,38119483,Spaceballs,96,7.1,146748,15419483
228,13000000,Action,53424681,RoboCop,102,7.5,196245,40424681
229,15000000,Action,65207127,Lethal Weapon,110,7.6,204328,50207127
230,25000000,Crime,76270454,The Untouchables,119,7.9,234254,51270454
231,3600000,Comedy,5923044,Evil Dead II,84,7.8,123325,2323044
232,22000000,Action,17336370,Masters of the Universe,106,5.4,30370,-4663630
233,12000000,Action,3769990,The Monster Squad,82,7.2,21420,-8230010
234,14000000,Drama,156645693,Fatal Attraction,119,6.9,60383,142645693
235,30000000,Action,51185897,The Living Daylights,130,6.7,74272,21185897
236,15000000,Crime,43848100,Wall Street,126,7.4,126195,28848100
237,35000000,Drama,22238696,Empire of the Sun,153,7.8,96566,-12761304
238,0,Comedy,31623833,Can't Buy Me Love,94,6.7,26348,31623833
239,22000000,Comedy,63766510,The Witches of Eastwick,118,6.5,51642,41766510
240,0,Comedy,35658098,Summer School,97,6.5,14038,35658098
241,4500000,Action,44793222,A Nightmare on Elm Street 3: Dream Warriors,96,6.6,55414,40293222
242,0,Action,34368475,Adventures in Babysitting,102,6.9,30850,34368475
243,0,Action,13839404,Hamburger Hill,110,6.7,20159,13839404
244,23000000,Adventure,20763013,Jaws: The Revenge,89,2.9,33419,-2236987
245,25000000,Action,16057580,Over the Top,93,5.7,40916,-8942420
246,30000000,Comedy,49530280,"Planes, Trains & Automobiles",93,7.6,98897,19530280
247,6000000,Comedy,22847564,Raising Arizona,94,7.4,107669,16847564
248,17000000,Horror,17185632,Angel Heart,113,7.3,67453,185632
249,0,Drama,18553948,Some Kind of Wonderful,95,7.1,21931,18553948
250,6000000,Comedy,42721196,Mannequin,90,5.8,24626,36721196
251,0,Comedy,26713187,Overboard,106,6.8,40429,26713187
252,27000000,Action,25893810,Innerspace,120,6.8,45172,-1106190
253,15000000,Comedy,80640528,Moonstruck,102,7.1,38600,65640528
254,28000000,Action,153665000,Beverly Hills Cop II,100,6.5,90969,125665000
255,0,Comedy,29760613,Harry and the Hendersons,110,5.9,26157,29760613
256,23000000,Biography,43984230,The Last Emperor,163,7.8,76408,20984230
257,13000000,Biography,123922370,"Good Morning, Vietnam",121,7.3,106924,110922370
258,2600000,Drama,3130592,Maurice,140,7.7,11837,530592
259,11000000,Comedy,167780960,3 Men and a Baby,102,5.9,39544,156780960
260,3000000,Horror,14182492,Prince of Darkness,102,6.7,28064,11182492
